========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 2 bound to :50002. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 3913 | NetHead: 3913 | Confirmed: 3908 | Missing: 5 | StateHash: 0x271F293E
[HEARTBEAT] SimTick: 3950 | NetHead: 3949 | Confirmed: 3946 | Missing: 4 | StateHash: 0xE7DEA974
[HEARTBEAT] SimTick: 3990 | NetHead: 3989 | Confirmed: 3987 | Missing: 3 | StateHash: 0x869CDFD2
[HEARTBEAT] SimTick: 4028 | NetHead: 4027 | Confirmed: 4025 | Missing: 3 | StateHash: 0xDAA72666
[HEARTBEAT] SimTick: 4065 | NetHead: 4064 | Confirmed: 4061 | Missing: 4 | StateHash: 0x4F90D2D4
[HEARTBEAT] SimTick: 4102 | NetHead: 4101 | Confirmed: 4100 | Missing: 2 | StateHash: 0x01885B92
[HEARTBEAT] SimTick: 4145 | NetHead: 4144 | Confirmed: 4141 | Missing: 4 | StateHash: 0xC23ADABE
[HEARTBEAT] SimTick: 4182 | NetHead: 4182 | Confirmed: 4179 | Missing: 3 | StateHash: 0x6529F36C
[HEARTBEAT] SimTick: 4219 | NetHead: 4219 | Confirmed: 4216 | Missing: 3 | StateHash: 0xA2C094D1
[HEARTBEAT] SimTick: 4258 | NetHead: 4257 | Confirmed: 4256 | Missing: 2 | StateHash: 0x988E5FE1
[HEARTBEAT] SimTick: 4298 | NetHead: 4298 | Confirmed: 4293 | Missing: 5 | StateHash: 0x8E7C8D84
[HEARTBEAT] SimTick: 4335 | NetHead: 4335 | Confirmed: 4330 | Missing: 5 | StateHash: 0xC82C6341
[HEARTBEAT] SimTick: 4373 | NetHead: 4372 | Confirmed: 4369 | Missing: 4 | StateHash: 0xFBCEB429
[HEARTBEAT] SimTick: 4411 | NetHead: 4410 | Confirmed: 4407 | Missing: 4 | StateHash: 0x331FF114
[HEARTBEAT] SimTick: 4449 | NetHead: 4448 | Confirmed: 4446 | Missing: 3 | StateHash: 0x9AA751CD
[HEARTBEAT] SimTick: 4485 | NetHead: 4484 | Confirmed: 4481 | Missing: 4 | StateHash: 0x864CCBD1
[HEARTBEAT] SimTick: 4527 | NetHead: 4526 | Confirmed: 4524 | Missing: 3 | StateHash: 0x8C499F7C
[HEARTBEAT] SimTick: 4560 | NetHead: 4560 | Confirmed: 4557 | Missing: 3 | StateHash: 0x8C499F7C
[HEARTBEAT] SimTick: 4595 | NetHead: 4594 | Confirmed: 4593 | Missing: 2 | StateHash: 0x7E339AEC
[HEARTBEAT] SimTick: 4641 | NetHead: 4641 | Confirmed: 4639 | Missing: 2 | StateHash: 0xC866539C
[HEARTBEAT] SimTick: 4685 | NetHead: 4684 | Confirmed: 4682 | Missing: 3 | StateHash: 0xF1BDB375
[HEARTBEAT] SimTick: 4729 | NetHead: 4728 | Confirmed: 4727 | Missing: 2 | StateHash: 0xA59B4D49
[HEARTBEAT] SimTick: 4771 | NetHead: 4770 | Confirmed: 4767 | Missing: 4 | StateHash: 0xBC293A84
[HEARTBEAT] SimTick: 4810 | NetHead: 4809 | Confirmed: 4805 | Missing: 5 | StateHash: 0x0AFB31DD
[HEARTBEAT] SimTick: 4848 | NetHead: 4847 | Confirmed: 4843 | Missing: 5 | StateHash: 0x3AAAD841
[HEARTBEAT] SimTick: 4889 | NetHead: 4888 | Confirmed: 4886 | Missing: 3 | StateHash: 0x50AF2794
[HEARTBEAT] SimTick: 4930 | NetHead: 4929 | Confirmed: 4925 | Missing: 5 | StateHash: 0x66D6A5DD
[HEARTBEAT] SimTick: 4970 | NetHead: 4969 | Confirmed: 4966 | Missing: 4 | StateHash: 0xDBF35289
[HEARTBEAT] SimTick: 4996 | NetHead: 4995 | Confirmed: 4993 | Missing: 3 | StateHash: 0x96B7880C
[HEARTBEAT] SimTick: 5031 | NetHead: 5031 | Confirmed: 5029 | Missing: 2 | StateHash: 0x96B7880C
[HEARTBEAT] SimTick: 5070 | NetHead: 5069 | Confirmed: 5066 | Missing: 4 | StateHash: 0xE0B89072
[HEARTBEAT] SimTick: 5106 | NetHead: 5105 | Confirmed: 5103 | Missing: 3 | StateHash: 0xD579B94E
[HEARTBEAT] SimTick: 5151 | NetHead: 5150 | Confirmed: 5148 | Missing: 3 | StateHash: 0x9D3FF1FC
[HEARTBEAT] SimTick: 5190 | NetHead: 5189 | Confirmed: 5187 | Missing: 3 | StateHash: 0x2022E84A
[HEARTBEAT] SimTick: 5224 | NetHead: 5224 | Confirmed: 5219 | Missing: 5 | StateHash: 0x66666206
[HEARTBEAT] SimTick: 5264 | NetHead: 5264 | Confirmed: 5260 | Missing: 4 | StateHash: 0x6D8DC6A4
[HEARTBEAT] SimTick: 5302 | NetHead: 5301 | Confirmed: 5297 | Missing: 5 | StateHash: 0x85DE701A
[HEARTBEAT] SimTick: 5339 | NetHead: 5338 | Confirmed: 5335 | Missing: 4 | StateHash: 0x3D494E01
[HEARTBEAT] SimTick: 5377 | NetHead: 5376 | Confirmed: 5372 | Missing: 5 | StateHash: 0xB5D740AC
[HEARTBEAT] SimTick: 5420 | NetHead: 5419 | Confirmed: 5415 | Missing: 5 | StateHash: 0x92B6EDB9
[HEARTBEAT] SimTick: 5457 | NetHead: 5456 | Confirmed: 5455 | Missing: 2 | StateHash: 0xE95F5E41
[HEARTBEAT] SimTick: 5501 | NetHead: 5500 | Confirmed: 5498 | Missing: 3 | StateHash: 0xD9F16574
[HEARTBEAT] SimTick: 5540 | NetHead: 5540 | Confirmed: 5535 | Missing: 5 | StateHash: 0x7FC85D21
[HEARTBEAT] SimTick: 5582 | NetHead: 5582 | Confirmed: 5578 | Missing: 4 | StateHash: 0xE2E0BCCE
[HEARTBEAT] SimTick: 5624 | NetHead: 5623 | Confirmed: 5620 | Missing: 4 | StateHash: 0x03AEBFB4
[HEARTBEAT] SimTick: 5665 | NetHead: 5664 | Confirmed: 5662 | Missing: 3 | StateHash: 0xCD5785F2
[HEARTBEAT] SimTick: 5701 | NetHead: 5701 | Confirmed: 5696 | Missing: 5 | StateHash: 0x69CA7E91
