========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 1 bound to :50001. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 7353 | NetHead: 7353 | Confirmed: 7350 | Missing: 3 | StateHash: 0x641CFF54
[HEARTBEAT] SimTick: 7390 | NetHead: 7389 | Confirmed: 7388 | Missing: 2 | StateHash: 0x71EC7A06
[HEARTBEAT] SimTick: 7430 | NetHead: 7429 | Confirmed: 7427 | Missing: 3 | StateHash: 0x84FA8294
[HEARTBEAT] SimTick: 7466 | NetHead: 7466 | Confirmed: 7464 | Missing: 2 | StateHash: 0xB3F4BEE2
[HEARTBEAT] SimTick: 7507 | NetHead: 7506 | Confirmed: 7503 | Missing: 4 | StateHash: 0x0B82235E
[HEARTBEAT] SimTick: 7546 | NetHead: 7545 | Confirmed: 7544 | Missing: 2 | StateHash: 0x43CB80CC
[HEARTBEAT] SimTick: 7589 | NetHead: 7588 | Confirmed: 7585 | Missing: 4 | StateHash: 0xE790397A
[HEARTBEAT] SimTick: 7631 | NetHead: 7630 | Confirmed: 7626 | Missing: 5 | StateHash: 0x85943E5E
[HEARTBEAT] SimTick: 7666 | NetHead: 7665 | Confirmed: 7664 | Missing: 2 | StateHash: 0xE154BE8C
[HEARTBEAT] SimTick: 7709 | NetHead: 7708 | Confirmed: 7704 | Missing: 5 | StateHash: 0x0CDF6D62
[HEARTBEAT] SimTick: 7746 | NetHead: 7745 | Confirmed: 7743 | Missing: 3 | StateHash: 0xE264AFE6
[HEARTBEAT] SimTick: 7784 | NetHead: 7783 | Confirmed: 7779 | Missing: 5 | StateHash: 0xE7C3FE3C
[HEARTBEAT] SimTick: 7825 | NetHead: 7824 | Confirmed: 7823 | Missing: 2 | StateHash: 0xE2FDE8B2
[HEARTBEAT] SimTick: 7860 | NetHead: 7860 | Confirmed: 7855 | Missing: 5 | StateHash: 0xDFDBCC31
[HEARTBEAT] SimTick: 7894 | NetHead: 7893 | Confirmed: 7892 | Missing: 2 | StateHash: 0x2A006BF4
[HEARTBEAT] SimTick: 7928 | NetHead: 7928 | Confirmed: 7925 | Missing: 3 | StateHash: 0x8C00EA2D
[HEARTBEAT] SimTick: 7967 | NetHead: 7966 | Confirmed: 7964 | Missing: 3 | StateHash: 0x29180719
[HEARTBEAT] SimTick: 8011 | NetHead: 8011 | Confirmed: 8007 | Missing: 4 | StateHash: 0x6151F04C
[HEARTBEAT] SimTick: 8052 | NetHead: 8051 | Confirmed: 8047 | Missing: 5 | StateHash: 0x4AD85969
[HEARTBEAT] SimTick: 8086 | NetHead: 8086 | Confirmed: 8083 | Missing: 3 | StateHash: 0x03881F49
[HEARTBEAT] SimTick: 8118 | NetHead: 8117 | Confirmed: 8113 | Missing: 5 | StateHash: 0xCE7B5334
[HEARTBEAT] SimTick: 8154 | NetHead: 8154 | Confirmed: 8150 | Missing: 4 | StateHash: 0xCE7B5334
[HEARTBEAT] SimTick: 8188 | NetHead: 8188 | Confirmed: 8183 | Missing: 5 | StateHash: 0x8A854832
[HEARTBEAT] SimTick: 8221 | NetHead: 8220 | Confirmed: 8217 | Missing: 4 | StateHash: 0x857444D9
